@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'people absolutely insane liberals attacking white years getting worse pushing create another civil damn stupid',GRP
'another political hack news media listen interview looking moment instead work every turn',IND
'hate speech hear last years liberals stop hate',IND
'prime example cant anymore liberals government dont want know constitution americans hate republic need keep',GRP
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fool',IND
'sure hell either traitor liberals',GRP
'please dont start concerned wants something planned idea movie scary felt something wanted know couldnt remember head',IND
'thats took correct hospital usual record claim many incompetent single record',GRP
'dope delusional puerto rico response president',GRP
'dumbest shit read morning reading trump tweets',IND
'eric holder held accountable pointing away crime time side eric looking forward time ruining america',OTH
'asked proof blocked joke antifa real nazis talking points sure proof quickly',GRP
'baby liberals trump total great years #maga',IND
'conservatives theyre voice white house want back theyre trying silence possible need burn midterms',GRP
'wonder couple',IND
'give fucking break liberals false outrage president gets saying grab pussy decades gets pass saying fuck shit next gets liberal pass',IND
'maxine mean woman cant imagine demons dealing much hate &amp',IND
'know many liberals dont feel need around maga idiots',GRP
'women defend kavanaugh good person allegations ignore feinstein disgusting idiot piece feinstein rule supreme',IND
'white liberals imagine white people power white people aware white liberals racists know power imagine white people people',GRP
'goes show called news people eating wonderful watch liberals around',GRP
'think conservatives going believe liberal sadly right lies judge kavanaugh great person best thing country hand disgrace united states &amp women',IND
'book cant blame #liberals love throw money bullshit',GRP
'control isnt public social',GRP
'fuck',IND
'lose every jeff jerry dumb shit happens lose full',IND
'president idiot wish tell still office help lord knows need paper thrown',IND
'fuck',IND
'liberals whatever label people disagree threat agenda',GRP
'dope',IND
'blocked long time response called lying idiot thinks dont stick loves saying stupid stuff liberals love complete',IND
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face terrible',IND
'give life conservatives move year election canadians show dont want racist running country grow lets talk dont anybody dont look',GRP
'perfect example country control guys happy criminals didnt guns',GRP
'liberals saying republicans country color hypocrites',GRP
'ridiculous need',IND
'sorry team looking butt',OTH
'first states extremely progressive control increase free college know things dont count major count',IND
'bitch gonna dont',IND
'gives shit',OTH
'sexual assault agree said foot turning pushing cock',IND
'realize conservatives decide certain pass sexual assault',GRP
'entire article piece trash full pigs',GRP
'dont hope next wins',IND
'maybe youre running away girl assume demand proof terms lost nice',IND
'except control',GRP
'despicable',IND
'dont muslim racist questions',IND
'hope beat private',IND
'least youve type fucked',IND
'grab difference home means release dont know whole story release number',IND
'didnt work maybe needs',IND
'trump liberals scream bloody hell open transparency',IND
'yeah real',IND
'liar thomas confirmation never always delay liberals game call politics',GRP
'loudly_crying_face bitch',IND
'crazy women dems left lies name liar',OTH
'dont release names elected officials paid silence sexual assault claims done office fund paying claims ford know home maybe attack happened took home',GRP
'anyone concerned mass killings control unconstitutional especially first years alone killed million people',OTH
'even pedophiles tell stop kill pedophiles even admit prison thats keeps alive prison hope another innocent child sick',GRP
'believe years went boys school stop confirmation blew face corrupt',IND
'shows scared liberals going constitution &amp bill rights honestly believed made trump #maga &amp helping',IND
'nasty bitch',OTH
'yeah keep right vote',OTH
'hoping joke #antifa morons clue many people carry guns make threat states happen silly',GRP
'typical nothing move along trump supporters days thing shit trump getting called nothing move along',IND
'guess white guys kinda look winking_face',IND
'made lying cheap filthy whore lies help real women sexually assaulted trashy liberals cares right long justify means trashy libs tried thing judge thomas democrats sick',GRP
'strictest control laws country saying goes guns criminals seems proving chicago',GRP
'david stop true',OTH
'bitch dont message',IND
'bullshit',GRP
'stupid',IND
'still trump train',IND
'many issues australian voters single obsession australian conservatives bullying children',GRP
'trump daughter still elected lets stop pretending decency means shit conservatives',GRP
'talking',IND
'crazy people dont care suppose leftist says wasnt sounds youre disappointed didnt scream control',GRP
'whos loser bitch fuck #maga',IND
'says little commie rate',IND
'seriously despicable even look kids',IND
'thats whole deal theyre young dumb history major conservatives hand wave assume without evidence',GRP
'hard believe female liberals personal political gain',GRP
'share trying make shit work',IND
'chris fascist nothing',IND
'think weird',GRP
'fire fire fire conservatives realize offenders deserve president gang members past called death alleged rapists',GRP
'sorry youre socialist cruz sick liberals',IND
'face_with_tears_of_joy face_with_rolling_eyes',IND
'please draw stupid sexy something',IND
'liar',IND
'shitty',IND
'holy fuck',IND
'good christian asked know mine hell everybody',GRP
'talking though pres trump every turn totally opposite fool',IND
'dude look move',GRP
'leftists threaten wonder maybe isnt violence toward conservatives certainly always seems',GRP
'water fucking real pouting_face',IND
'liberal self making little everyone making last minute claims kavanaugh trump course zero proof collusion obsession',IND
'dont know didnt asshole know dealing hope well',IND
'holy shit',IND
'yeah cant wing theres kinds need follow garbage',IND
'liberals face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'everyone called antifa scum politicians',GRP
'please stop calling losers',GRP
'dont point kind woman doesnt want help &amp doesnt care control &amp isnt school kids',OTH
'know make professor even control',IND
