@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'dope delusional puerto rico response presid',GRP
'dumbest shit read reading trump tweet',IND
'eric holder held accountable pointing away crime time side eric looking forward time america',OTH
'asked proof joke antifa real nazis talking points sure proof',GRP
'baby liberals trump total great years #maga',IND
'conservatives theyre voice white house want back theyre trying silence possible need burn midterm',GRP
'wonder couple',IND
'give fucking break liberals false outrage president gets saying grab pussy decades gets pass saying fuck shit next gets liberal pass',IND
'maxine mean woman cant imagine dealing much hate &amp',IND
'know many liberals dont feel need around maga idiot',GRP
'women defend kavanaugh good person allegations ignore feinstein disgusting idiot piece feinstein rule',IND
'white liberals imagine white people power white people aware white liberals racists know power imagine white people peopl',GRP
'goes show called news people eating wonderful watch liberals around',GRP
'think conservatives going believe liberal sadly right lies judge kavanaugh great person best thing country hand disgrace united states &amp women',IND
'book cant blame #liberals love throw money bullshit',GRP
'control isnt public social',GRP
'fuck',IND
'lose every jeff jerry dumb shit happens lose',IND
'president idiot wish tell still office help lord knows need paper thrown',IND
'fuck',IND
'liberals whatever label people disagree threat agenda',GRP
'dope',IND
'long time response called lying idiot thinks dont stick loves saying stupid stuff liberals love complete',IND
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face terrible',IND
'give life conservatives move year election canadians show dont want racist running country grow lets talk dont anybody dont look',GRP
'perfect example country control guys happy criminals didnt gun',GRP
'liberals saying republicans country color hypocrit',GRP
'ridiculous need',IND
'sorry team looking butt',OTH
'first states extremely progressive control increase free college know things dont count major count',IND
'bitch gonna dont',IND
'gives shit',OTH
'sexual assault agree said foot turning pushing cock',IND
'realize conservatives decide certain pass sexual assault',GRP
'entire article piece trash full',GRP
'dont hope next wins',IND
'maybe youre running away girl assume demand proof terms lost nic',IND
'except control',GRP
'despic',IND
'dont muslim racist',IND
'hope beat',IND
'least youve type fuck',IND
'grab difference home means release dont know whole story release',IND
'didnt work maybe needs',IND
'trump liberals scream bloody hell open',IND
'yeah real',IND
'liar thomas confirmation never always delay liberals game call polit',GRP
'loudly_crying_face bitch',IND
'crazy women dems left lies name liar',OTH
'dont release names elected officials paid silence sexual assault claims done office fund paying claims ford know home maybe attack happened took hom',GRP
'anyone concerned mass killings control unconstitutional especially first years alone killed million people',OTH
'even pedophiles tell stop kill pedophiles even admit prison thats keeps alive prison hope another innocent child sick f*ck',GRP
'believe years went boys school stop confirmation blew face corrupt',IND
'shows scared liberals going constitution &amp bill rights honestly believed made trump #maga &amp help',IND
'nasty bitch',OTH
'yeah keep right vot',OTH
'hoping joke #antifa morons many people carry guns make threat states happen silly',GRP
'typical nothing move along trump supporters days thing shit trump getting called nothing move along',IND
'guess white guys kinda look winking_face',IND
'made lying cheap filthy whore lies help real women sexually assaulted trashy liberals cares right long justify means trashy libs tried thing judge thomas democrats sick',GRP
'strictest control laws country saying goes guns criminals seems proving chicago',GRP
'david stop true',OTH
'bitch dont',IND
'bullshit',GRP
'stupid',IND
'still trump train',IND
'many issues australian voters single australian conservatives bullying children',GRP
'trump daughter still elected lets stop pretending decency means shit conserv',GRP
'talking',IND
'crazy people dont care suppose leftist says wasnt sounds youre disappointed didnt scream control',GRP
'whos loser bitch fuck #maga',IND
'says little r',IND
'seriously despicable even look kid',IND
'thats whole deal theyre young dumb history major conservatives hand assume without evidence',GRP
'hard believe female liberals personal political gain',GRP
'share trying make shit work',IND
'chris fascist noth',IND
'think weird',GRP
'fire fire fire conservatives realize offenders deserve president gang members past called death alleged rapist',GRP
'sorry youre socialist cruz sick liber',IND
'face_with_tears_of_joy face_with_rolling_ey',IND
'please draw stupid sexy someth',IND
'liar',IND
'shitty',IND
'holy fuck',IND
'good christian asked know mine hell',GRP
'talking though pres trump every turn totally fool',IND
'dude look',GRP
'leftists threaten wonder maybe isnt violence toward conservatives certainly always seems',GRP
'water fucking real pouting_fac',IND
'liberal self making little everyone making last minute claims kavanaugh trump course zero proof collusion',IND
'dont know didnt asshole know dealing hope',IND
'holy shit',IND
'yeah cant wing theres kinds need follow garbag',IND
'liberals face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'everyone called antifa scum politician',GRP
'please stop calling losers',GRP
'dont point kind woman doesnt want help &amp doesnt care control &amp isnt school kid',OTH
'know make professor even control',IND
'listen lady tweet fact sick hearing trump every time listen news fuck trying sort racial situation part problem stop turning shit someth',IND
'conservatives abiding citizens dont come control longer weapons guns surely everyone',GRP
'doesnt care family forced abortion child daughter says selfish bastard women',IND
'arent antifa terror',GRP
'wins midterms easily reason dont masks grab weapons #antifa people going much',GRP
'lying year claim know hard liberals look th',IND
'needs either pick politics singing either',IND
'reported violence antifa found dead accident police believe death accident left',GRP
'looks antifa thug',GRP
'look calling black liberals pulling trying president hillary lost elect',GRP
'lose entire career people despicable know believe hell filled liberals',IND
'treason went iran iran give time power back keep giving iran terrorists lead',IND
'yeah niggas wear joke hard fuck',GRP
'stop woman murdered home irresponsible blaming victim black anything murder hom',IND
'liberals heads truth finally coming best news americans finally find truth corrupt #maga',IND
'fascists future call anti fascist antifa comes mind',GRP
'violence cities already strict control extremely crime time ownership',IND
'please dont cruz away spend liberal racist crap fire back facts cal',IND
'dont need control need white male control',GRP
