@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'comes going leftist control make actually say',NOT
'dont liberals dont civil conversation come evidence feelings context',NOT
'damn able pussi',OFF
'think liberals call front hol',NOT
'exactly anyone half brain consider conservative literally poster child liber',OFF
'worries gods hand trump agenda gods timing timing slowly deep state swamp',NOT
'correct',NOT
'sharyl attkisson truthtel',NOT
'queen bitches',OFF
'well tool liberals surprised dont pretty much tool',NOT
'great',NOT
'love sweetest two_heart',NOT
'thats shite cant understand people football match best mute trying tickets next chance assume main stand less',NOT
'worse lick',OFF
'liar going give judge lecture credibility judge wont admit something didnt stupid ones flushed_face liberals shame ignorance elected',OFF
'stupid problem conservatives dont hate studies smart people people show data facts near turn somebody #cdnpoli',OFF
'funny liberals change women accs based political isnt term yeah #hypocrit',NOT
'cute',NOT
'bitch',OFF
'face_blowing_a_kiss',NOT
'welcome guy',NOT
'trust',NOT
'jamie fucks meal deals kill cunt',OFF
'care murdered dont care whether weed home whole americans care said victim trying smear victim despic',OFF
'cheap plastic version real presid',NOT
'didnt actually engaged racket austerity',NOT
'cake',NOT
'agent dont speak',NOT
'havent goals chasing dreams asked questions doctor making decisions parent grow',NOT
'liberals steal elderly disabled',NOT
'know ways born',NOT
'mouth saying respect cops dont dirt bags break home control means steady hand empty talk antifa buddies drain',OFF
'sexi',NOT
'shes claims thats (and',NOT
'russian received much money putin',OFF
'well liberal explains knows shooter liberal knows liberals hateful violent people must',OFF
'strict control sure helping',NOT
'alone',NOT
'news giving faith time thats simply wrong experience useless fools cares ones fool',OFF
'angel face_blowing_a_kiss smiling_face_with_hearteyes two_hearts damn two_hearts two_hearts face_blowing_a_kiss killing smiling_face_with_hearteyes love smiling_face_with_hearteyes winking_face love face_blowing_a_kiss',NOT
'show control exclusively trying away guns black peopl',NOT
'gave beto well trump called wife ugly still help',OFF
'striking franken seat #maga',NOT
'prayers wife problems know going thru prayers remember control',NOT
'find antifa chicago',NOT
'threat #maga',OFF
'please tell type using pants must straight',NOT
'liberals imagine forced defend family violence imagine beyond believe police quickly enough sav',OFF
'talks books giving away book',NOT
'face_with_tears_of_joy liberals know voter feels say',NOT
'liberals education country education lies federal schools unions power school look worst school',NOT
'didnt know statement root problem conservatives dont root serena even though greatest america female tennis player play game course side racial',NOT
'great winning debate tonight clearly best candidate cant wait vote tuesday',NOT
'beauti',NOT
'shit first rolling_on_the_floor_laugh',OFF
'seems holds hand comes governing brexit',NOT
'bitch',OFF
'woman sells portion house road better india',NOT
'shocking video exposes communists inside government break rules every sara carter #maga #wwg1wga',NOT
'kind',NOT
'wild',NOT
'ratings wheres posted internet connection problems',NOT
'news continue write stories michael moore says millions dont really give michael moore say',NOT
'stfu bitch salty tryna twitter famous know',OFF
'fact committed perjury confirmation hearings unfortunately seems think team',NOT
'gosh reasonable control wouldnt happen winking_fac',NOT
'100% correct corrupt president',OFF
'turn tuesday night super sexy fire fire fir',OFF
'despic',OFF
'california doesnt common sense control laws prevent criminals illegal th',NOT
'without question professor ford troubled thats polite half women world groped time dont hold years obviously political ploy scotus confirmation #maga',OFF
'evil delusional eats high quality paint chip',OFF
'shut',OFF
'vast majority guns chicago streets come indiana states toughest laws &amp keep guns lowest murder rates smart control work',NOT
'beauti',NOT
'update shell latest details sure join tonight news',NOT
'fuck',OFF
'hetero',NOT
'course neck probably hiding liberals busted melt liberal watch',NOT
'demo',NOT
'liberals still dont understand evidence color shock',NOT
'shell total mental',OFF
'kids shot statues children hiding voters protect',NOT
'saying lies pres',NOT
'broadcast',NOT
'hill sorry',NOT
'welcom',NOT
'franken photo assaulting woman liberals called mock groping woman accusing kavanaugh already changed story four guys alleged incident wont even',NOT
'holder',NOT
'existence reading suck',OFF
'strongest supporter washington primary president &amp senator past rest supporting potus talking fellow conserv',NOT
'weve millions people marching streets without incident small group left people violent couple altright hate groups antifa part resistance part',NOT
'americans enough liberals espn',NOT
'want look face bright happy person',NOT
'guess antifa treatment decide',NOT
'angela hook younger someone butt',OFF
'good surely show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',OFF
'love meme heavy #qanon #maga #trump #wwg1wga #greatawakening',NOT
'animal moth',NOT
'exactly true',OFF
'still waiting',OFF
'singing didnt tell stop singing unbelievable hell talking enough talking keep talking wonder family think going nut',OFF
'replace dud',NOT
'think called talking sides fucking mouth lindsey graham longer trust',OFF
'left ones spending money wasnt right gave billion debt left remember liberals screamed high heavens harris liber',NOT
'#brexit people deal simply failed single argument sure #leftists #mbga #maga #mcga #mega #conservatives #patriot',NOT
'sound ignorant words america stop help make nation best everyone liberals wake walk away',OFF
'super president good',NOT
'witch hunt kavanaughs pitiful cant believe anyone find story didnt come forward years liber',NOT
'isnt media reporting connection tweet yesterday lawyer alleged victim conservatives need follow money',NOT
'please aware following person confirmed guest list canadas antifa anarchist disrupt event name alex',NOT
'back back face_with_tears_of_joy',NOT
'suck',OFF
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch thats lmao',OFF
'#liberals clarify want everyone #tuesdaythoughts',NOT
'everyone vote regardless candidates parties support',NOT
'photoshop',NOT
'lefty pope worthy true christian roman failed',OFF
'party bill clinton kennedy accusing brett kavanaugh sexual misconduct high school think irony moment #maga',NOT
'wife conservative blue democrat family conservatives left dems always known conservative obama n',NOT
'representing case well gonna give call lawyer matt wait dont isnt coming back',NOT
'course self defense standing someone elses ground rule armed entering property starting actual fuck self defense seriously dude dont cross burn someth',NOT
'honestly ridiculous ne',OFF
'little known fact races winning right finish lost control running local antifa whole thing',OFF
'watch crying loud talking within first',NOT
'true wouldnt even care presence laws issues typical call anything car',OFF
'sunday night',OFF
'things never change 1991 #scotus clarence &amp #maga fight back lies #confirmkavanaugh #kavanaugh #metoo',OFF
'awesome thankful know',NOT
'bitch shut building self',OFF
'hand signal used ignorant people signal white supremacy evil people idea pissing liberals ignore ignorance dont deserve time attent',OFF
'doesnt remember john whats wrong people today',NOT
'#usa probably level intelligence yall #maga #mega #mbga #mcga #conservatives #patriots',OFF
'republicans going learn democrats hate conservatives vote thursday',OFF
'thought antifa training',NOT
'good think',NOT
'political pushed #fakenews puppet little jimmy liberals always finding low',NOT
'isnt amazon bitch antifa',OFF
'beautiful hair',NOT
'certainly throwing control &amp window illegal involved seeing shit hearing',OFF
'neither conservatives',NOT
