@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'feel guys rush something girls looks without really knowing knowing dont want without thinking damage girls mind',NOT
'extremely satire fact dont sense humor stupid fault none means motives native american woman bigoted',OFF
'kind known personality brave enough continue holy accept india definitely changing',NOT
'mean senior generally individual surprise surprise hasnt changed good people allows things done',NOT
'saying',OFF
'trust mark sorry running term fine city stop year start elected',NOT
'delusional liberals twisted hate cant even acknowledge',OFF
'better shit better anything red_heart',OFF
'comes going leftist control make actually saying',NOT
'dont liberals dont civil conversation come evidence feelings context',NOT
'damn able pussy',OFF
'think liberals call front hole',NOT
'exactly anyone half brain consider conservative literally poster child liberals',OFF
'worries gods hand trump agenda gods timing timing slowly deep state swamp',NOT
'correct',NOT
'sharyl attkisson truthteller',NOT
'queen bitches relate',OFF
'well tool liberals surprised dont pretty much tool',NOT
'gre',NOT
'love sweetest two_hearts',NOT
'thats shite cant understand people football match best mute trying tickets next chance assume main stand less',NOT
'worse',OFF
'liar going give judge lecture credibility judge wont admit something didnt stupid ones flushed_face liberals shame ignorance elected',OFF
'stupid problem conservatives dont hate studies smart people people show data facts near turn somebody #cdnpoli',OFF
'funny liberals change tune women accs based political isnt term yeah',NOT
'cut',NOT
'bitch',OFF
'face_blowing_a_kiss',NOT
'welcome guys',NOT
'trust',NOT
'jamie fucks meal deals kill cunt',OFF
'care murdered dont care whether weed home whole americans care said victim trying smear victim',OFF
'cheap plastic version real president',NOT
'didnt actually engaged racket austerity',NOT
'cake',NOT
'agent dont speak',NOT
'havent goals chasing dreams asked questions doctor making decisions parent growing',NOT
'liberals steal elderly disabled',NOT
'know ways born',NOT
'mouth saying respect cops dont dirt bags break home control means steady hand empty talk antifa buddies drain',OFF
'sexy',NOT
'shes claims thats (and explanation',NOT
'russian received much money putin',OFF
'well liberal explains knows shooter liberal knows liberals hateful violent people must defeated',OFF
'strict control sure helping',NOT
'alone',NOT
'news giving faith time thats simply wrong experience useless fools cares ones fool',OFF
'angel face_blowing_a_kiss smiling_face_with_hearteyes two_hearts damn two_hearts two_hearts face_blowing_a_kiss killing smiling_face_with_hearteyes love smiling_face_with_hearteyes winking_face love face_blowing_a_kiss',NOT
'show control exclusively trying away guns black people',NOT
'gave beto well trump called wife ugly still help reelection',OFF
'striking franken seat #maga',NOT
'prayers wife problems know going thru prayers remember control',NOT
'find antifa chicago',NOT
'threat #maga',OFF
'please tell type using pants must straight',NOT
'liberals imagine forced defend family violence imagine beyond possibility believe police quickly enough save',OFF
'talks books giving away book',NOT
'face_with_tears_of_joy liberals know voter feels says',NOT
'liberals education country education lies federal schools unions power school look worst school',NOT
'didnt know statement root problem conservatives dont root serena even though greatest america female tennis player play game course side racial',NOT
'great winning debate tonight clearly best candidate cant wait vote tuesday',NOT
'beauty',NOT
'shit first rolling_on_the_floor_laughing',OFF
'seems holds hand comes governing brexit',NOT
'bitch',OFF
'woman sells portion house road better india',NOT
'shocking video exposes communists inside government break rules every sara carter #maga #wwg1wga',NOT
'kind',NOT
'wild ride',NOT
'ratings wheres posted internet connection problems #deepstate',NOT
'news continue write stories michael moore says millions dont really give michael moore',NOT
'stfu bitch salty tryna twitter famous know',OFF
'fact committed perjury confirmation hearings unfortunately seems think team',NOT
'gosh reasonable control wouldnt happen winking_face',NOT
'100% correct corrupt president denounced',OFF
'turn tuesday night super sexy fire fire fire',OFF
'desp',OFF
'california doesnt common sense control laws prevent criminals illegal things',NOT
'without question professor ford troubled thats polite half women world groped time dont hold years obviously political ploy scotus confirmation #maga',OFF
'evil delusional eats high quality paint chips',OFF
'shut',OFF
'vast majority guns chicago streets come states toughest laws &amp keep guns lowest murder rates smart control works',NOT
'beauty',NOT
'update shell latest details sure join tonight news',NOT
'fuck',OFF
'hetero',NOT
'course swalwell neck probably hiding liberals busted liberal watching',NOT
'demo',NOT
'liberals still dont understand evidence color shocked',NOT
'shell total mental',OFF
'kids shot statues children hiding silently voters protection',NOT
'saying lies present',NOT
'broadcast sewage',NOT
'hill sorry',NOT
'welcom',NOT
'franken photo assaulting woman liberals called mock groping woman accusing kavanaugh already changed story four guys alleged incident wont even testify',NOT
'hold',NOT
'existence reading sucks',OFF
'strongest supporter washington primary president &amp senator past rest supporting potus talking fellow conservatives',NOT
'weve millions people marching streets without incident small group left people violent couple altright hate groups antifa part resistance part',NOT
'americans enough liberals espn',NOT
'want look face bright happy person',NOT
'guess antifa treatment decide',NOT
'angela hook younger someone butt',OFF
'good surely show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',OFF
'love meme heavy #qanon #maga #trump #wwg1wga #greatawakening',NOT
'animal mother',NOT
'exactly true',OFF
'still waiting mine',OFF
'singing didnt tell stop singing unbelievable hell talking enough talking keep talking wonder family think going nuts',OFF
'replace',NOT
'think called talking sides fucking mouth lindsey graham longer trusted',OFF
'left ones spending money wasnt right gave billion debt left remember liberals screamed high heavens harris liberals',NOT
'#brexit people deal simply failed single argument sure #leftists #mbga #maga #mcga #mega #conservatives #patriots',NOT
'sound ignorant words america stop help make nation best everyone liberals wake walk away',OFF
'super president good',NOT
'witch hunt kavanaughs pitiful cant believe anyone find story didnt come forward years liberals',NOT
'isnt media reporting connection tweet yesterday lawyer alleged victim conservatives need follow money',NOT
'please aware following person confirmed guest list canadas antifa anarchist disrupt event name alex',NOT
'back back face_with_tears_of_joy',NOT
'suck',OFF
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch thats lmao',OFF
'#liberals clarify want everyone #emmys #tuesdaythoughts',NOT
'everyone vote regardless candidates parties support',NOT
'photoshop',NOT
'lefty pope worthy true christian roman catholics failed',OFF
'party bill clinton kennedy accusing brett kavanaugh sexual misconduct high school think irony moment #maga',NOT
'wife conservative blue democrat family conservatives left dems always known conservative obama nationally',NOT
'representing case well gonna give call lawyer matt wait dont isnt coming back',NOT
'course self defense standing someone elses ground rule armed entering property starting actual fuck self defense seriously dude dont cross burn something',NOT
'honestly ridiculous need',OFF
