@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'know left going believe lies liberals rats destroy president trump going thumbs_up united_st',TIN
'born life wife london back baby wife london make face_with_tears_of_joy winking_face histori',TIN
'fucked future plan',TIN
'please dont make mistake #kavanaugh trump',TIN
'hour white scum earth',TIN
'trump #maga',TIN
'fucking',TIN
'failure democrats #tcot #maga #rednationris',TIN
'wasnt given stay home money always tell people given shit hel',TIN
'people still think administration greatest ridicul',UNT
'evil true enemy people cant believe people still',TIN
'attempt',UNT
'must sexually active woman pushing young women',TIN
'answer different opinion youre lose argument youre love youre week takes strong person sheep',TIN
'silli',TIN
'maybe beating woman apparently couple dollars makes piss',TIN
'basic white girl clearly didnt know personally awful happened dont respect instead disgusting blaming another innocent human something noth',TIN
'opinion isnt false youre isnt cant feelings doesnt narrative rights taking away better control soul well dead child',TIN
'support right using antifa tactics words tactics domestic terrorist group',TIN
'tweet another garbage tweet liberals nothing except confirmation liberals talking points &amp arent believ',TIN
'dont look keith bully investigation past abuse pick',TIN
'rule doesnt apply accused',TIN
'difference make death holding parents accountable part control legislation write demand congress deals violence continue &amp americans risk',TIN
'pope pure nothing fire crim',TIN
'ruined',TIN
'wants successful tweeting stuff',TIN
'swamp going jail soon #maga',TIN
'people tried telling last year busy bashing trump mayor cruz people peoples lives worth make trump look disgrac',TIN
'much dislike antifa hope none stupid enough fall getting someone kil',TIN
'explains idiots',TIN
'judicial system attack couldnt grow said used moron',TIN
'unless skin coming back coming back',TIN
'fake feel true feelings even lies says anything stupid standing clearly doesnt respect women stand',TIN
'news republicans using power congress force private whatever says truth control',TIN
'thought last wearing fucking',TIN
'lack walking around sense liber',TIN
'biased everyone drop google',TIN
'call poor loss',TIN
'maybe fucking knows kind home life child better sorry needs fir',TIN
'control',UNT
'ne',TIN
'simply right silly female nothing problem realize horrible perhaps someone told somehow fault liberals might wrote plain',TIN
'bono clearly racist',TIN
'people crying control shooting already control want criminals supposed obey',TIN
'liberals live double look liar whore even evidence good bill democrat fucking insan',TIN
'piece shit sorry going think',TIN
'animal word',UNT
'cant kinds wrong beat',TIN
'black female democrats call changes party #tcot #maga #rednationris',TIN
'aware hillary clinton said going weapons russia sold weapons complete idiot',TIN
'time really starting hate time world open shut time enough bull shit time case actually time hurting',TIN
'door runs fuck yeah',UNT
'levis came support student control activists burning well',TIN
'racism utter lack showing higher education apparently go',UNT
'corrupt glad step',UNT
'aint nigga back throw whole friend away',TIN
'guys seriously dont mean everyone right good people dont shit personally want shit stop government apparently fucking stupid control teachers guns makes sens',TIN
'antifa high fascist organization members name groups obvious fascist others advantage rest fool',TIN
'haha true back original point fucking everything',UNT
'another',TIN
'holy shit',UNT
'liberals following facts liberal',TIN
'news democrats backhand_index_pointing_down #maga united_st',TIN
'people bastards youre think plenty wont advantage change',TIN
'dirty stole cruz campaign voters list gave trump',TIN
'great state illegal immigrants liberals blue states looking work vote democrat figure insan',TIN
'doesnt awesome keep',TIN
'crazy liber',TIN
'cockroach',UNT
'page confirmed russia story passed liberals push narrative elected presidents success offic',TIN
'whats wrong dead #antifa dont understand thought good antifa',TIN
'trump never free chicken danger world constant imagine around world little actual know completely dont happen',TIN
'gross obvious hack',TIN
'sure block useless tweet',TIN
'good arrest arrest crazy leader well minions fall planned paying legal think level party disgust',TIN
'fake conservatives fake outrage budget',TIN
'knew dead rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',TIN
'thats real thing &amp told fact mother never loved &amp penis',TIN
'john careful liberals attack thinking facts arent',TIN
'amazing pope afraid truth',TIN
'people absolutely insane liberals attacking white years getting worse pushing create another civil damn stupid',TIN
'another political hack news media listen interview looking moment instead work every turn kil',TIN
'hate speech hear last years liberals stop h',TIN
'prime example cant anymore liberals government dont want know constitution americans hate republic need keep',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fool',TIN
'sure hell either traitor liber',TIN
'please dont start concerned wants something planned idea movie scary felt something wanted know couldnt remember head',TIN
'thats took correct hospital usual record claim many incompetent single record',TIN
'dope delusional libtard puerto rico response presid',TIN
'dumbest shit read morning reading trump tweet',TIN
'eric holder held accountable pointing away crime time side eric looking forward time ruining america',TIN
'asked proof blocked joke antifa real nazis talking points sure proof',TIN
'thank proving point trash',UNT
'baby liberals trump total great years #maga',TIN
'conservatives theyre voice white house want back theyre trying silence possible need burn midterm',TIN
'took years never came choose supreme court shows liberals really thats good',UNT
'wonder couple',TIN
'fuck',UNT
'agenda promote control',UNT
'give fucking break liberals false outrage president gets saying grab pussy decades gets pass saying fuck shit next gets liberal pass',TIN
'maxine mean woman cant imagine dealing much hate &amp',TIN
'know gives know smarter presid',UNT
'know many liberals dont feel need around maga idiot',TIN
'wild thinking minus away whole town',UNT
'women defend kavanaugh good person allegations ignore feinstein disgusting idiot piece feinstein rule',TIN
'white liberals imagine white people power white people aware white liberals racists know power imagine white people peopl',TIN
'goes show called news people eating wonderful watch liberals around',TIN
'think conservatives going believe liberal sadly right lies judge kavanaugh great person best thing country hand disgrace united states &amp women',TIN
'book cant blame #liberals love throw money bullshit',TIN
'control isnt public social',TIN
'fuck',TIN
'lose every jeff jerry dumb shit happens lose',TIN
'president idiot wish tell still office help storm lord knows need paper thrown',TIN
'fuck',TIN
'liberals whatever label discredit people disagree threat agenda',TIN
'dope',TIN
'blocked long time response called lying idiot thinks dont stick loves saying stupid stuff liberals love complete',TIN
'loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face terrible',TIN
'give life conservatives move year election canadians show dont want racist running country grow lets talk dont anybody dont look',TIN
'perfect example country control guys happy criminals didnt gun',TIN
'become establishment fake news worst alex total loser watch listen fault lines instead probably best show kind fired good',UNT
'liberals saying republicans country color hypocrit',TIN
'ridiculous need',TIN
'sorry team looking butt',TIN
'first states extremely progressive control increase free college know things dont count major count',TIN
'bitch gonna dont',TIN
'white liberals really hate',UNT
'gives shit',TIN
'sexual assault agree said foot turning pushing cock',TIN
'realize conservatives decide certain pass sexual assault',TIN
'sucks least',UNT
'entire article piece trash full',TIN
'dont hope next wins',TIN
'maybe youre running away girl assume demand proof terms lost nic',TIN
'except control',TIN
