@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'opportunist wanted post liberals decided wasnt good enough crossed conservatives promised person beliefs credible trusted',TIN
'open whole bottom line women color never happen better soon womens tennis',TIN
'fuck face_with_tears_of_joy',TIN
'whos sick racists',TIN
'cock',TIN
'liar bring case state love kavanaughs',TIN
'family cheating husband never loved boys made clear never laws show paid laugh checks',TIN
'years sexually assaulted supreme court nominee remain anonymous dont answer questions basically smear campaign democrat dont want conservatives majority scotus',TIN
'understand black lives matter fight demand control wade course forces throw save used medicare everything worries',TIN
'policies worst',TIN
'know left going believe lies liberals rats destroy president trump going thumbs_up United_States',TIN
'born life wife london back baby wife london make face_with_tears_of_joy winking_face history',TIN
'fucked future',TIN
'please dont make mistake #kavanaugh trump',TIN
'hour white scum earth',TIN
'trump #maga',TIN
'fucking',TIN
'failure democrats #tcot #maga #rednationrising',TIN
'wasnt given stay home money always tell people given shit hell',TIN
'people still think administration greatest ridiculous',UNT
'evil true enemy people cant believe people still seriously',TIN
'attempt',UNT
'must sexually active woman pushing young women',TIN
'answer different opinion youre lose argument youre love youre week takes strong person sheep',TIN
'silly',TIN
'maybe beating woman apparently couple dollars makes piss someone',TIN
'basic white girl clearly didnt know personally awful happened dont respect instead disgusting blaming another innocent human something nothing',TIN
'opinion isnt false youre isnt cant feelings doesnt narrative rights taking away better control hurts soul well dead child hurts mine',TIN
'support right using antifa tactics words tactics domestic terrorist group',TIN
'tweet another garbage tweet liberals nothing except confirmation liberals talking points &amp arent believed',TIN
'dont look keith bully investigation past abuse pick',TIN
'rule doesnt apply accused dems',TIN
'difference make death holding parents accountable part control legislation write demand congress deals violence continue &amp americans',TIN
'pope pure nothing fire crimes',TIN
'ruined',TIN
'wants successful tweeting stuff',TIN
'swamp going jail soon #maga',TIN
'people tried telling last year busy bashing trump mayor cruz people peoples lives worth make trump look disgrace',TIN
'much dislike antifa hope none stupid enough fall getting someone killed',TIN
'explains idiots',TIN
'judicial system attack couldnt grow said used moron',TIN
'unless skin coming back coming back',TIN
'fake feel true feelings even lies says anything stupid standing clearly doesnt respect women stand',TIN
'news republicans using power congress force private whatever says truth control members',TIN
'thought last wearing fucking',TIN
'lack walking around sense liberals',TIN
'biased everyone drop google',TIN
'call poor',TIN
'maybe fucking knows kind home life child officer better sorry needs fired',TIN
'control',UNT
'need',TIN
'simply right silly female nothing problem realize horrible perhaps someone told somehow fault liberals might wrote plain',TIN
'bono clearly racist',TIN
'people crying control shooting already control want criminals supposed obey',TIN
'liberals live double look liar whore even evidence good bill democrat fucking insane',TIN
'piece shit sorry going think',TIN
'animal word',UNT
'cant kinds wrong beat',TIN
'black female democrats call changes party #tcot #maga #rednationrising',TIN
'aware hillary clinton said going weapons russia sold weapons complete idiot',TIN
'time really starting hate time world open shut time enough bull shit time case actually time hurting case',TIN
'opens door runs fuck yeah',UNT
'levis came support student control activists burning well',TIN
'racism utter lack showing higher education apparently goal',UNT
'corrupt glad',UNT
'aint nigga back throw whole friend away',TIN
'guys seriously dont mean everyone right good people dont shit personally want shit stop government apparently fucking stupid control teachers guns makes sense',TIN
'antifa high fascist organization members name groups obvious fascist others advantage rest fools',TIN
'haha true back original point fucking everything fine',UNT
'another',TIN
'holy shit',UNT
'liberals following facts liberal',TIN
'news democrats backhand_index_pointing_down #maga United_States',TIN
'people bastards youre think plenty wont advantage change',TIN
'dirty stole cruz campaign voters list gave trump',TIN
'great state illegal immigrants liberals blue states looking work vote democrat figure insane',TIN
'doesnt awesome keep',TIN
'crazy liberals',TIN
'cockroach',UNT
'page confirmed russia story passed gullible liberals push narrative elected presidents success office',TIN
'whats wrong dead #antifa dont understand thought good antifa',TIN
'trump never free chicken world constant imagine around world little actual know completely dont happening',TIN
'gross obvious hack',TIN
'sure block useless tweets',TIN
'good arrest arrest crazy leader well minions fall planned paying legal think level party disgusting',TIN
'fake conservatives fake outrage budget',TIN
'knew dead rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',TIN
'thats real thing &amp told fact mother never loved &amp penis',TIN
'john careful liberals attack thinking facts arent side',TIN
'amazing pope afraid truth',TIN
'people absolutely insane liberals attacking white years getting worse pushing create another civil damn stupid',TIN
'another political hack news media listen interview looking moment instead work every turn kills',TIN
'hate speech hear last years liberals stop hate',TIN
'prime example cant anymore liberals government dont want know constitution americans hate republic need keep',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fool',TIN
'sure hell either traitor liberals',TIN
'please dont start concerned wants something planned idea movie scary felt something wanted know couldnt remember head',TIN
'thats took correct hospital usual record claim many incompetent single record',TIN
'dope delusional puerto rico response president',TIN
'dumbest shit read morning reading trump tweets',TIN
'eric holder held accountable pointing away crime time side eric looking forward time ruining america',TIN
'asked proof blocked joke antifa real nazis talking points sure proof quickly',TIN
'thank proving point trash',UNT
'baby liberals trump total great years #maga',TIN
'conservatives theyre voice white house want back theyre trying silence possible need burn midterms',TIN
'took years never came choose supreme court shows liberals really thats good',UNT
'wonder couple',TIN
'fuck',UNT
'agenda promote control',UNT
'give fucking break liberals false outrage president gets saying grab pussy decades gets pass saying fuck shit next gets liberal pass',TIN
'maxine mean woman cant imagine demons dealing much hate &amp',TIN
'know gives know smarter president',UNT
'know many liberals dont feel need around maga idiots',TIN
'wild thinking minus away whole town',UNT
'women defend kavanaugh good person allegations ignore feinstein disgusting idiot piece feinstein rule supreme',TIN
'white liberals imagine white people power white people aware white liberals racists know power imagine white people people',TIN
'goes show called news people eating wonderful watch liberals around',TIN
'think conservatives going believe liberal sadly right lies judge kavanaugh great person best thing country hand disgrace united states &amp women',TIN
'book cant blame #liberals love throw money bullshit',TIN
'control isnt public social',TIN
'fuck',TIN
'lose every jeff jerry dumb shit happens lose full',TIN
'president idiot wish tell still office help storm lord knows need paper thrown',TIN
'fuck',TIN
'liberals whatever label discredit people disagree threat agenda',TIN
